,price,type,subtype,constructionYear,condition,room_number,cuisine_type,heatingType,mètres carrés,prix mètres carrés,parking extérieur,atticExists,basementExists,hasSwimmingPool,zip,city,municipalities,parking intérieur,lng,lat,id,company_name
117,3370000,apartment,apartment,2017.0,as new,2.0,usa hyper equipped,gas,271,12435.42,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8904406,haussmann by oralis
118,3297000,apartment,apartment,2018.0,as new,3.0,usa hyper equipped,gas,305,10809.84,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8900713,haussmann by oralis
119,3324000,apartment,apartment,2018.0,as new,3.0,usa hyper equipped,gas,308,10792.21,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8900714,haussmann by oralis
120,250000,apartment,apartment,1991.0,good,1.0,installed,electric,70,3571.43,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9016815,trevi  group
121,250000,apartment,flat studio,1991.0,good,0.0,installed,electric,70,3571.43,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9016792,trevi  group
122,480000,apartment,apartment,1968.0,just renovated,3.0,usa installed,gas,130,3692.31,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8940590,louise properties
123,770000,apartment,penthouse,2021.0,as new,2.0,usa semi equipped,gas,120,6416.67,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8962607,lecobel vaneau vente neuf
124,1190000,apartment,penthouse,2021.0,as new,3.0,usa semi equipped,gas,187,6363.64,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8964033,lecobel vaneau vente neuf
125,895000,apartment,apartment,1956.0,good,3.0,hyper equipped,gas,3,298333.33,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9002973,victoire (vente)
126,415000,apartment,apartment,2021.0,as new,1.0,usa hyper equipped,gas,77,5389.61,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8997927,lecobel vaneau vente neuf
127,575000,apartment,apartment,2021.0,as new,2.0,hyper equipped,gas,109,5275.23,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8899945,lecobel vaneau vente neuf
128,585000,apartment,apartment,2021.0,as new,2.0,hyper equipped,gas,109,5366.97,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8962642,lecobel vaneau vente neuf
129,750000,apartment,apartment,2021.0,as new,3.0,hyper equipped,gas,144,5208.33,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8653656,lecobel vaneau vente neuf
